probleem,titel,herstelstappen,afbeelding,youtube,synoniemen

"achterderailleur afstellen","Achterderailleur correct afstellen","Voordat je begint, is het handig om te weten welke onderdelen belangrijk zijn:

**1. Onderdelen achterderailleur:**
- **H-schroef (High limit)** – bepaalt hoe ver de derailleur naar het kleine tandwiel kan bewegen.
- **L-schroef (Low limit)** – bepaalt hoe ver de derailleur naar het grote tandwiel kan bewegen.
- **B-schroef** – regelt de afstand van de bovenste derailleurrol tot de cassette, beïnvloedt de schakeling op grote tandwielen.
- **Kabelspanning** – bepaalt hoe soepel en nauwkeurig de derailleur tussen de tandwielen beweegt.
- **Pulleywielen** – de wieltjes; controleren op slijtage kan problemen voorkomen.

**2. Controleer de fiets:**
- Zorg dat de ketting schoon is en goed gesmeerd.
- Controleer of de derailleur niet verbogen is.
- Zet de fiets op een standaard zodat het achterwiel vrij kan draaien.

**3. Achterderailleur limieten instellen:**
### H-limiet (kleinste tandwiel)
- Zet de ketting op het kleinste tandwiel achter en het voorste grote of middelste tandwiel.
- Draai de **H-schroef** zodat de bovenste rol van de derailleur precies in lijn is met het kleinste tandwiel.
  - Te ver naar buiten: ketting kan eraf vallen.
  - Te ver naar binnen: derailleur wrijft tegen het tandwiel.

### L-limiet (grootste tandwiel)
- Zet de ketting op het grootste tandwiel achter en het kleinste tandwiel voor.
- Draai de **L-schroef** zodat de bovenste rol van de derailleur precies in lijn staat met het grootste tandwiel.
  - Te ver naar buiten: ketting kan tussen frame en tandwiel komen → gevaarlijk.
  - Te ver naar binnen: derailleur kan wrijving veroorzaken of niet schakelen naar het grootste tandwiel.

**4. Kabelspanning afstellen:**
- Zet de ketting op middelste tandwiel achter en middelste voor.
- Controleer of de derailleur vlot schakelt.
- Pas kabelspanning aan indien nodig.

**5. B-schroef afstellen:**
- Zet de ketting op grootste tandwiel achter en kleinste voor.
- Meet de afstand tussen het bovenste derailleurwieltje en het grootste tandwiel.
- Pas de **B-schroef** aan:
  - Te dicht: derailleur kan wrijving veroorzaken of ketting loopt niet soepel.
  - Te ver: schakelen op grootste tandwiel wordt traag.

**6. Test alle versnellingen:**
- Schakel langzaam door alle tandwielen heen.
- Controleer of hij niet overslaat of rammelt.
- Check of de ketting niet van de cassette of freewheel valt.
- Kleine aanpassingen in kabelspanning zijn normaal.
","achterderailleur.png","https://www.youtube.com/watch?v=UkZxPIZ1ngY&t=18s","derailleur afstellen,regelen derailleur,afstellen achterderailleur, Hoe een achterderailleur afstellen"

"voorderailleur afstellen","Voorderailleur correct afstellen","**1. Begrijp de onderdelen van de voorderailleur**
Voordat je begint, is het handig te weten welke onderdelen belangrijk zijn:

- **H-schroef (High limit)** – bepaalt hoe ver de derailleur naar het grootste voorblad kan bewegen.
- **L-schroef (Low limit)** – bepaalt hoe ver de derailleur naar het kleinste voorblad kan bewegen.
- **Kabelspanning** – bepaalt hoe soepel de derailleur schakelt tussen de voorbladen.
- **Hoogte en positie van de derailleur** – moet correct boven het kleinste of middelste blad staan.

**2. Controleer de fiets**
- Zorg dat de ketting schoon is en goed gesmeerd.
- Controleer of de voorderailleur niet verbogen is.
- Zet de fiets op een standaard zodat de pedalen en ketting vrij kunnen draaien.

**3. Stel de positie van de voorderailleur af**
- **Hoogte**: de voorderailleur moet **2–3 mm boven de tanden van het grootste blad** zitten.
- **Uitlijning**: de derailleurplaat moet **parallel staan met de voorbladen**.

**4. Voorderailleur limieten instellen**
### L-limiet (kleinste blad)
- Zet de ketting op het **kleinste voorblad** en het **grootste achtertandwiel**.
- Draai de **L-schroef** zodat de binnenkant van de derailleurplaat **net langs de ketting loopt**, zonder er tegenaan te wrijven.

### H-limiet (grootste blad)
- Zet de ketting op het **grootste voorblad** en het **kleinste achtertandwiel**.
- Draai de **H-schroef** zodat de buitenkant van de derailleurplaat **net langs de ketting loopt**, zonder dat de ketting eraf kan vallen.

**5. Kabelspanning afstellen**
- Zet de ketting op het middelste voorblad en middelste achterblad.
- Controleer of de derailleur soepel schakelt.
- Pas de kabelspanning aan indien nodig.

**6. Test alle versnellingen**
- Schakel langzaam door alle voor- en achterbladen.
- Controleer of de ketting niet overslaat of van de bladen valt.
- Kleine aanpassingen in kabelspanning zijn normaal.

**7. Extra tips**
- Versleten kabel of derailleur kan afstellen lastig maken.
- Kromme derailleurplaat of hanger kan schakelen onmogelijk maken.","voorderailleur.png","https://www.youtube.com/watch?v=VoorbeeldLink"

"v-brakes afstellen","V-brakes correct afstellen","**1. Controleer de remmen**
- Controleer of de remblokken niet versleten zijn.
- Zorg dat de remkabel soepel beweegt en niet vastzit.
- Controleer de spanning van de veer.

**2. Plaats en hoogte van de remblokken**
- Remblokken parallel aan velg.
- Volledig contact met de velg bij remmen.
- Remblokken raken niet de band.

**3. Remkabel bevestigen en spannen**
- Bevestig kabel aan remarm en klem vast.
- Hendel langzaam testen.
- Kabelspanning aanpassen: te los → strakker, te strak → losser.
- Remhendel moet 1/3 tot 1/2 inknijpen.

**4. Fine-tuning**
- Spaanbouten / veerschroeven afstellen voor gelijkmatige terugvering.
- Beide remblokken tegelijk contact laten maken.
- Korte testrit om remfunctie te controleren.

**5. Extra tips**
- Versleten remblokken vervangen.
- Controleer kabels op slijtage.
- Altijd testrit doen voor gebruik.","vbrakes.png","https://www.youtube.com/watch?v=VoorbeeldVBrakes"

"ketting vervangen","Ketting vervangen en lengte bepalen (klein-klein methode)","**1. Oude ketting verwijderen**
- Zet de ketting eerst op het **kleinste tandwiel achteraan en het kleinste voorblad**.
- Gebruik een kettingpons of een snelschakel-tang (als je een quick link hebt) om de oude ketting te openen.
- Haal de ketting helemaal van de fiets. Dit is meteen een goed moment om cassette, voorblad en derailleurwieltjes schoon te maken.

**2. Nieuwe ketting voorbereiden**
- Haal de nieuwe ketting uit de verpakking.
- Meestal is ze te lang geleverd, zodat je ze zelf op maat kan maken.
- Leg de ketting alvast door de derailleur:
  - Door de geleidewieltjes (boven en onder) in de kooi van de achterderailleur.
  - Let op dat ze correct over en onder de kettinggeleiders loopt (er staat vaak een schema op de derailleur of in de handleiding).

**3. Lengte bepalen (klein-klein methode + derailleurpositie)**

*A. Fiets met enkel achterderailleur (1x-aandrijving)*
- Leg de ketting op het kleinste voorblad en het kleinste achtertandwiel.
- Trek de ketting strak naar achter.
- Controleer de stand van de achterderailleur:
  - De derailleurkooi (arm met de twee wieltjes) moet ongeveer op 6:40 uur staan: iets naar achter gekanteld, zodat er nog spanning is, maar niet volledig recht naar beneden of te ver naar voren.

*B. Fiets met voor- én achterderailleur (2x of 3x)*
- Leg de ketting ook hier op klein-klein.
- Trek strak en controleer:
  - De derailleurkooi moet zo plat mogelijk naar achter staan (bijna horizontaal), maar nog steeds met lichte spanning.
  - Geen doorhang → anders is de ketting te lang.

**4. Schakels inkorten**
- Kort de ketting in met een kettingpons.
- Hou rekening met een snelschakel: die voegt een halve schakel toe.
- Zorg dat de uiteinden passen (binnenschakel tegenover buitenschakel).
","ketting_vervangen.png;kettingmontage_derailleur.png;mssinglink.png","","ketting vervangen,ketting lengte bepalen,ketting monteren,fiets ketting vervangen"

 "Test en onderhoud ketting","hoe ketting onderhouden",
- ontvet de ketting, goed naspoelen
- Smeer ketting licht met olie en veeg overtollige olie af.
- Regelmatig controleren op slijtage en rek.
","kettingslijtagemeter.png",""

"pedalen vervangen","Pedalen correct vervangen","**1. Oude pedalen verwijderen**
- Zet de fiets op een standaard.
- Controleer links/rechts pedaal.
- Gebruik pedaalsleutel of inbussleutel: Rechter pedaal linksom losdraaien, Linker pedaal rechtsom losdraaien.
- Verwijder het pedaal.

**2. Nieuwe pedalen voorbereiden**
- Vet de draad licht in. (montagevet)
- Controleer juiste kant (L/R).

**3. Nieuwe pedalen monteren**
- Schroef eerst met de hand op de juiste crankarm.
- Draai daarna stevig aan met pedaalsleutel: Rechter pedaal rechtsom, Linker pedaal linksom.
- Niet te hard aandraaien om draad te beschermen.

**4. Controle en testen**
- Draai de pedalen rond om soepelheid te controleren.
- Controleer op speling.
- Maak korte testrit.","pedalen.png","https://www.youtube.com/watch?v=VoorbeeldPedalen"

